GAME_DATE,SEASON_ID,OPPONENT,IS_HOME,WIN,REST_DAYS,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS
2025-11-30,2025-26,UTA,0,1,4,28,27,4,5,1,0,2,4,10,15,0.667,0,1,0.0,7,9,0.778,10
2025-12-01,2025-26,UTA,0,0,1,38,31,8,14,2,5,3,4,12,19,0.632,1,3,0.333,6,8,0.75,3
2025-12-03,2025-26,SAC,1,1,2,30,28,10,3,4,0,3,3,11,20,0.55,0,1,0.0,6,7,0.857,-1
2025-12-11,2025-26,LAC,1,1,8,36,22,15,5,4,0,5,5,9,22,0.409,0,3,0.0,4,6,0.667,-2
2025-12-15,2025-26,DEN,0,0,4,42,33,10,10,2,1,4,5,14,27,0.519,0,2,0.0,5,6,0.833,-6
2025-12-18,2025-26,NOP,0,0,3,36,28,11,8,2,2,2,5,11,26,0.423,0,4,0.0,6,10,0.6,-5
2025-12-20,2025-26,DEN,0,1,2,30,8,6,4,1,1,5,3,4,9,0.444,0,1,0.0,0,0,0.0,24
2025-12-21,2025-26,SAC,0,0,1,41,28,6,3,2,2,4,4,12,17,0.706,0,1,0.0,4,6,0.667,3
2025-12-23,2025-26,LAC,0,0,2,28,19,11,7,2,1,3,2,9,16,0.563,0,0,0.0,1,1,1.0,-9
2025-12-25,2025-26,LAL,0,1,2,31,14,12,4,1,0,6,1,5,7,0.714,0,0,0.0,4,4,1.0,24
